SalesID,OrderDate,CustomerID,ProductID,SalesPersonID,StoreID,Quantity,UnitPrice,DiscountPct,SalesAmount,PaymentMethod,Channel,Returned,DeliveryDays,CustomerRating
1,2023-03-09,1561,33,46,11,5,506.97,20,2027.88,NetBanking,Retail,No,9,5
2,2024-03-16,1738,26,14,14,2,685.18,20,1096.29,NetBanking,Online,No,6,4
3,2024-02-13,1681,107,17,12,2,263.79,10,474.82,Cash,Retail,Yes,2,1
4,2023-04-06,1133,111,36,2,2,600.78,10,1081.4,UPI,Online,No,6,4
5,2025-06-07,1319,185,23,4,1,775.35,20,620.28,Cash,Online,No,4,1
6,2023-12-25,1587,143,15,14,6,109.61,10,591.89,Card,Retail,Yes,3,3
7,2024-12-20,1006,196,12,5,5,738.8,10,3324.6,NetBanking,Online,Yes,1,1
8,2025-02-03,1349,136,11,12,4,313.43,15,1065.66,UPI,Retail,Yes,1,2
9,2023-06-11,1278,194,29,14,10,58.81,0,588.1,NetBanking,Retail,No,5,2
10,2025-02-12,1290,132,44,19,2,289.23,0,578.46,NetBanking,Retail,Yes,4,4
11,2024-09-05,1785,15,9,9,1,179.45,5,170.48,,Retail,Yes,1,4
12,2025-02-03,1720,111,15,17,3,120.76,20,289.82,UPI,Online,No,1,4
13,2023-01-20,1439,118,37,13,2,692.45,20,1107.92,NetBanking,Retail,Yes,7,1
14,2023-11-29,1090,44,28,4,10,378.88,10,3409.92,Cash,Retail,No,9,1
15,2024-02-10,1078,80,33,4,6,192.83,5,1099.13,Cash,Retail,No,3,2
16,2023-04-16,1156,38,49,3,5,173.87,20,695.48,Cash,Retail,No,10,5
17,2024-04-04,1330,175,41,11,10,521.53,20,4172.24,Cash,Retail,Yes,8,4
18,2024-10-08,1519,78,5,10,5,481.31,10,2165.9,NetBanking,Retail,Yes,1,3
19,2025-05-01,1629,74,39,17,2,522.84,0,1045.68,NetBanking,Retail,Yes,8,5
20,2024-10-29,1154,49,4,15,6,491.9,20,2361.12,Card,Retail,Yes,9,2
21,2023-02-10,1535,64,40,6,8,792.97,20,5075.01,UPI,Retail,No,7,4
